title,building1,building2,price,bedroom,bathroom,area
Vacant 1 Bedroom | Mid Floor | Al Waleed,JLT Jumeirah Lake Towers,Al Waleed Paradise,50000,1 Bedrooms,1 Bathrooms,664,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/29/vacant-1-bedroom-mid-floor-al-waleed-2/
"Lake View | 1BR Apartment | Icon 1, JLT",JLT Jumeirah Lake Towers,Icon Tower 1,50000,1 Bedrooms,1 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/27/lake-view-1br-apartment-icon-1-jlt-2/
Grab Now!!! Affordable 1BR Apt in Icon Tower,JLT Jumeirah Lake Towers,Icon Tower 1,50000,1 Bedrooms,2 Bathrooms,747,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/21/grab-now-affordable-1br-apt-in-icon-tower-2/
Furnished | Converted Studio | Park View,JLT Jumeirah Lake Towers,Dubai Gate 1,50000,1 Bedrooms,1 Bathrooms,500,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/20/furnished-converted-studio-park-view-2/
A Cosy 1 bedroom flat close to Metro Station,JLT Jumeirah Lake Towers,Dubai Gate 1,50000,1 Bedrooms,1 Bathrooms,650,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/19/a-cosy-1-bedroom-flat-close-to-metro-stati-2/
Big layout /Low Floor/Vacant November 30,JLT Jumeirah Lake Towers,Icon Tower 2,50000,1 Bedrooms,1 Bathrooms,726,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/19/big-layout-low-floorvacant-november-30-2/
Direct from Owner 1BR Furnished for Rent,JLT Jumeirah Lake Towers,Dubai Gate 1,50000,1 Bedrooms,1 Bathrooms,449,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/13/1-br-furnished-apartment-for-rent-direct-f-2/
Great Offer! A Cosy 1 bedroom Apartment near to Metro Station,JLT Jumeirah Lake Towers,Dubai Gate 1,50000,1 Bedrooms,1 Bathrooms,650,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/1/great-offer-a-cosy-1-bedroom-apartment-nea-2/
"1 B/R APT AT ICON TOWER , COMMUNITY VIEW",JLT Jumeirah Lake Towers,Icon Tower 2,55000,1 Bedrooms,2 Bathrooms,750,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/31/1-br-apt-at-icon-tower-community-view-2/
Chiller free/ High floor/ Balcony,JLT Jumeirah Lake Towers,Concorde,60000,1 Bedrooms,2 Bathrooms,730,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/25/spacious-1-br-apartment-on-high-floor-equi-2/
V3|1bed|Unfurnished|Meadows view|lower floor,JLT Jumeirah Lake Towers,V3 Tower,73000,1 Bedrooms,2 Bathrooms,807,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/15/v3-1bed-unfurnished-meadows-view-lower-flo-2/
Refurbished 1BR Duplex w/ refreshing lake view,JLT Jumeirah Lake Towers,Jumeirah Bay 1,75000,1 Bedrooms,2 Bathrooms,978,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/21/refurbished-1br-duplex-w-refreshing-lake-v-2/
Biggest 1Bed Best Tower in JLT Al Sheraa,JLT Jumeirah Lake Towers,Al Shera,75000,1 Bedrooms,2 Bathrooms,1021,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/21/biggest-1bed-best-tower-in-al-sheraa-jlt-2/
Next to metro 1br hall with full lake view big balcony,JLT Jumeirah Lake Towers,Lake City,50000,1 Bedrooms,2 Bathrooms,750,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/31/next-to-metro-1br-hall-with-full-lake-view-2/
SMALL 1 BHK IN JLT DUBAI GATE 1 CLUSTER Q,JLT Jumeirah Lake Towers,Dubai Gate 1,50000,1 Bedrooms,1 Bathrooms,600,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/23/small-1-bhk-in-jlt-dubai-gate-1-cluster-q-2/
CLOSE TO METRO FURNISHED SMALL 1 BHK IN DUBAI GATE 1,JLT Jumeirah Lake Towers,Dubai Gate 1,50000,1 Bedrooms,1 Bathrooms,600,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/22/close-to-metro-furnished-small-1-bhk-in-du-2/
"835 SQFT OFFCIE IN CONCORDE WITH PARKING FULLY FITTED @ 50,000/- AED CHILLER FREE",JLT Jumeirah Lake Towers,Concorde,50000,1 Bedrooms,1 Bathrooms,825,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/17/1-bedroom-with-marina-view-in-marina-terra-2/
"Clean 1 bedroom for rent, lakepoint, JLT",JLT Jumeirah Lake Towers,Lake Point,50000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/9/clean-1-bedroom-for-rent-lakepoint-jlt-2/
1 Bedroom for Rent in JLT Dubai Gate 1 ( Near Metro ) @ 50k,JLT Jumeirah Lake Towers,Dubai Gate 1,50000,1 Bedrooms,1 Bathrooms,620,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/7/19/1-bedroom-for-rent-in-jlt-dubai-gate-1-nea-2/
"Nice 1 BHK for RENT in Dubai Gate 1, JLT",JLT Jumeirah Lake Towers,Dubai Gate 1,50000,1 Bedrooms,1 Bathrooms,538,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/7/9/nice-1-bhk-for-rent-in-dubai-gate-1-jlt-2/
"Clean 1 bedroom for rent, lakepoint, JLT",JLT Jumeirah Lake Towers,Lake Point,50000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/4/5/high-floor-1-bedroom-for-rent-lakepoint-jl-2/
jlt.1bedroom apartment SZ ROAD VIEW OPP METRO N PARK,JLT Jumeirah Lake Towers,Al Waleed Paradise,50000,1 Bedrooms,2 Bathrooms,750,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/1/8/jltstudio-with-balcony-opp-metro-n-park-2/
Specious 1 bed with appliance and balcony in lake point tower 51k 1chq,JLT Jumeirah Lake Towers,Lake Point,51000,1 Bedrooms,2 Bathrooms,980,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/7/specious-1-bed-with-appliance-and-balcony--2/
HUGE PRICE REDUCTION - Lake View - Unfurnished,JLT Jumeirah Lake Towers,Dubai Gate 1,51000,1 Bedrooms,1 Bathrooms,500,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/5/vacant-1-bed-lake-view-unfurnished-2/
WELL MAINTAIN 1 BEDROOM APARTMENT IN AL WALEED PARADISE OPPOSITE TO METRO STATION,JLT Jumeirah Lake Towers,Al Waleed Paradise,52000,1 Bedrooms,2 Bathrooms,700,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/29/well-maintain-1-bedroom-apartment-in-al-wa-2/
"Large 1 bedroom for rent, Lakepoint, JLT",JLT Jumeirah Lake Towers,Lake Point,52000,1 Bedrooms,2 Bathrooms,979,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/28/large-1-bedroom-for-rent-lakepoint-jlt-2/
Huge 1bhk on high floor close to metro/ 12 Cheques,JLT Jumeirah Lake Towers,Icon Tower 1,52000,1 Bedrooms,1 Bathrooms,727,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/28/huge-1bhk-on-high-floor-close-to-metro-12--2/
1 Bed (780sqft) Al Waleed Paradise - JLT @52k,JLT Jumeirah Lake Towers,Al Waleed Paradise,52000,1 Bedrooms,2 Bathrooms,780,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/21/1-bed-780sqft-al-waleed-paradise-jlt-52k-2/
HOT DEAL! 1BED ROOM APARTMENT+KITCHEN APLIANCES IN FRONT OF JLLT METROSTATION JUST FOR 52K,JLT Jumeirah Lake Towers,Lake City,52000,1 Bedrooms,2 Bathrooms,520,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/21/hot-deal-1bed-room-apartment-kitchen-aplia-2/
HOT DEAL! 1 BED APARTMENT IN FRONT OF JLT METRO STATION WITH KITCHEN APPLIANCES IN JUST 52K,JLT Jumeirah Lake Towers,Lake City,52000,1 Bedrooms,2 Bathrooms,820,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/20/hot-deal-1-bed-apartment-in-front-of-jlt-m-2/
LAKE VIEW  1 BED ON JLT METRO STATION,JLT Jumeirah Lake Towers,Lake City,52000,1 Bedrooms,2 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/15/lake-view-1-bed-on-jlt-metro-station-2/
Wow deal CLOSE TO METRO 1 BHK UNFURNISHED WITH BIG Balcony 52k,JLT Jumeirah Lake Towers,Dubai Gate 1,52000,1 Bedrooms,1 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/23/close-to-metro-1-bhk-unfurnished-with-big--2/
Unfurnished 1 BR in Lake city  Next to Metro JLT,JLT Jumeirah Lake Towers,Lake City,52000,1 Bedrooms,2 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/18/unfurnished-1-bedroom-apt-next-to-metro-2/
1BR Apt w/ an Jumeirah Park View for Rent,JLT Jumeirah Lake Towers,Icon Tower 1,52000,1 Bedrooms,2 Bathrooms,713,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/7/4/1br-apt-w-an-jumeirah-park-view-for-rent-2/
LARGE 1 BHK IN DUBAI GATE 1 CLOSE TO METRO,JLT Jumeirah Lake Towers,Dubai Gate 1,53000,1 Bedrooms,1 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/26/large-1-bhk-in-dubai-gate-1-close-to-metro-2/
1 BED APT WITH LAKE VIEW OPPOSITE TO JLT METRO STATION 53K,JLT Jumeirah Lake Towers,Lake City,53000,1 Bedrooms,2 Bathrooms,810,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/25/1-bed-apt-with-lake-view-opposite-to-jlt-m-2/
( AVAILABLE 10 DEC ) 1 BEDROOM NEXT TO JLT METRO STATION,JLT Jumeirah Lake Towers,Lake City,53000,1 Bedrooms,2 Bathrooms,750,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/24/-available-10-dec-1-bedroom-next-to-jlt-me-2/
1 BED APT OPPOSITE TO METRO STATION AMAZING PRICE 53K,JLT Jumeirah Lake Towers,Lake City,53000,1 Bedrooms,2 Bathrooms,830,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/22/1-bed-apt-opposite-to-metro-station-amazin-2/
"1 B/R APT AT ICON TOWER , COMMUNITY VIEW",JLT Jumeirah Lake Towers,Icon Tower 2,55000,1 Bedrooms,2 Bathrooms,750,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/31/1-br-apt-at-icon-tower-community-view-2/
Low Floor Large 1 Bed I Cluster N,JLT Jumeirah Lake Towers,Lake Point,59999,1 Bedrooms,2 Bathrooms,980,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/10/low-floor-large-1-bed-i-cluster-n-2/
Chiller free/ High floor/ Balcony,JLT Jumeirah Lake Towers,Concorde,60000,1 Bedrooms,2 Bathrooms,730,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/25/spacious-1-br-apartment-on-high-floor-equi-2/
V3|1bed|Unfurnished|Meadows view|lower floor,JLT Jumeirah Lake Towers,V3 Tower,73000,1 Bedrooms,2 Bathrooms,807,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/15/v3-1bed-unfurnished-meadows-view-lower-flo-2/
Refurbished 1BR Duplex w/ refreshing lake view,JLT Jumeirah Lake Towers,Jumeirah Bay 1,75000,1 Bedrooms,2 Bathrooms,978,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/21/refurbished-1br-duplex-w-refreshing-lake-v-2/
"HOT DEAL! 1 BHK WITH BALCONY, CLOSED KITCHEN IN DUBAI MARINA (NEAR METRO, TRAM STATIONS)",JLT Jumeirah Lake Towers,,53000,1 Bedrooms,1 Bathrooms,750,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/18/hot-deal-1-bhk-with-balcony-closed-kitchen-2-2/
LARGE 1 BEDROOM IN LIKE POINT WITH BIG BALCONY ONLY 53K,JLT Jumeirah Lake Towers,Lake Point,53000,1 Bedrooms,1 Bathrooms,1000,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/16/large-1-bedroom-in-like-point-with-big-bal-2/
LARGE 1 BEDROOM WITH BIG BALCONY READY TO MOVE ONLY 53K,JLT Jumeirah Lake Towers,Lake Point,53000,1 Bedrooms,1 Bathrooms,1000,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/16/large-1-bedroom-with-big-balcony-ready-to--2/
Amazing Furnished 1 bedroom in JLT on High Floor SZR Facing!!,JLT Jumeirah Lake Towers,Dubai Gate 1,53000,1 Bedrooms,1 Bathrooms,500,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/12/amazing-furnished-1-bedroom-in-jlt-on-high-2/
1B/R IN JLT LAKE POINT TOWER FOR RENT AED.53K,JLT Jumeirah Lake Towers,Lake Point,53000,1 Bedrooms,2 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/12/studio-1br-in-jlt-for-rentaed45k-2/
1 bed room with one month free,JLT Jumeirah Lake Towers,Dubai Gate 1,53000,1 Bedrooms,1 Bathrooms,500,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/23/1-bed-room-with-one-month-free-2/
Well- Maintained 1 Bedroom for Rent in Lake Point Tower,JLT Jumeirah Lake Towers,Lake Point,53000,1 Bedrooms,1 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/14/well-maintained-1-bedroom-for-rent-in-lake-2/
"1 bedroom for Rent in Lake City , JLT",JLT Jumeirah Lake Towers,Lake City,53000,1 Bedrooms,2 Bathrooms,664,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/27/1-bedroom-for-rent-in-lake-city-jlt-2/
BEST DEAL! 1BED WITH KITCHEN APPLIANCE JUST 53K IN FRONT OF JLT METRO STATION FULL LAKE VIEW 820sqft,JLT Jumeirah Lake Towers,Lake City,53000,1 Bedrooms,2 Bathrooms,820,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/12/1-bedroom-in-lake-city-tower-with-equipped-2/
High Floor | Spacious 1 Bedroom Apartment,JLT Jumeirah Lake Towers,Lake Point,53000,1 Bedrooms,1 Bathrooms,972,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/7/23/high-floor-spacious-1-bedroom-apartment-2/
DEAL OF THE DAY  HUGE 1 BHK APARTMENT ONLY 53K,JLT Jumeirah Lake Towers,Dubai Gate 1,53000,1 Bedrooms,1 Bathrooms,720,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/7/14/deal-of-the-day-huge-1-bhk-apartment-only--2/
BEST DEAL LARGE 1 BED APT IN LAKE POINT TOWER ONLY 54K,JLT Jumeirah Lake Towers,Lake Point,54000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/27/best-deal-large-1-bed-apt-in-lake-point-to-2/
3 Min to Metro | Best Price in Market | Fully Furnished,JLT Jumeirah Lake Towers,Dubai Gate 1,54000,1 Bedrooms,2 Bathrooms,750,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/21/3-min-to-metro-best-price-in-market-fully--2/
"HOT! FURNISHED 1 BHK WITH BALCONY IN MARINA. (NEAR TRAM, METRO STATIONS) FREE CHILLER+COOKING GAS",JLT Jumeirah Lake Towers,,54000,1 Bedrooms,1 Bathrooms,671,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/18/hot-furnished-1-bhk-with-balcony-in-marina-2/
"1BR Apartment in Al Waleed Paradise, JLT",JLT Jumeirah Lake Towers,Al Waleed Paradise,55000,1 Bedrooms,2 Bathrooms,586,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/29/1br-apartment-in-al-waleed-paradise-jlt-2/
"ONE BEDROOM FOR RENT IN LAKE POINT TOWER JLT ,,55K",JLT Jumeirah Lake Towers,Lake Point,55000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/29/one-bedroom-for-rent-in-lake-point-tower-j-2/
Mid Floor - 1 Bed (1050sqft) Dubai Gate2 - JLT @55k,JLT Jumeirah Lake Towers,Dubai Gate 2,55000,1 Bedrooms,2 Bathrooms,1050,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/28/mid-floor-1-bed-1050sqft-dubai-gate2-jlt-5-2/
Unfurnished 1 Bedroom +  Balcony  55 K,JLT Jumeirah Lake Towers,Lake Point,55000,1 Bedrooms,2 Bathrooms,851,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/28/unfurnished-1-bedroom-balcony-55-k-2/
Lake Point | Cluster N |  High Floor 1BR,JLT Jumeirah Lake Towers,Lake Point,55000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/28/lake-point-cluster-n-high-floor-1br-2/
CALL FOR MULTIPLE OPTION 1 BED WITH BALCONY,JLT Jumeirah Lake Towers,Lake City,55000,1 Bedrooms,2 Bathrooms,750,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/27/call-for-multiple-option-1-bed-with-balcon-2/
Spacious 1BR Apt. with Full Lake View,JLT Jumeirah Lake Towers,Lake City,55000,1 Bedrooms,1 Bathrooms,729,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/27/spacious-1br-apt-with-partial-lake-view-2/
best deal 1 bedroom in lake point 1 to 4 cheques,JLT Jumeirah Lake Towers,Lake Point,55000,1 Bedrooms,2 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/26/best-deal-1-bedroom-in-lake-point-1-to-4-c-2/
SMALL 1 BHK FURNISHED IN DUBAI GATE 1 CLOSE TO METRO,JLT Jumeirah Lake Towers,Dubai Gate 1,55000,1 Bedrooms,1 Bathrooms,600,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/26/small-1-bhk-furnished-in-dubai-gate-1-clos-2/
"1 Bed | High Floor  | JLT, Dubai Gate 1",JLT Jumeirah Lake Towers,Dubai Gate 1,55000,1 Bedrooms,1 Bathrooms,775,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/26/1-bed-high-floor-jlt-dubai-gate-1-2/
LARGE 1 BED APT WITH KITCHEN APPLIANCES IN JLT 55K,JLT Jumeirah Lake Towers,Lake Point,55000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/25/large-1-bed-apt-with-kitchen-appliances-in-2/
"1 B/R APT AT ICON TOWER , COMMUNITY VIEW",JLT Jumeirah Lake Towers,Icon Tower 2,55000,1 Bedrooms,2 Bathrooms,750,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/31/1-br-apt-at-icon-tower-community-view-2/
Low Floor Large 1 Bed I Cluster N,JLT Jumeirah Lake Towers,Lake Point,59999,1 Bedrooms,2 Bathrooms,980,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/10/low-floor-large-1-bed-i-cluster-n-2/
Chiller free/ High floor/ Balcony,JLT Jumeirah Lake Towers,Concorde,60000,1 Bedrooms,2 Bathrooms,730,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/25/spacious-1-br-apartment-on-high-floor-equi-2/
V3|1bed|Unfurnished|Meadows view|lower floor,JLT Jumeirah Lake Towers,V3 Tower,73000,1 Bedrooms,2 Bathrooms,807,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/15/v3-1bed-unfurnished-meadows-view-lower-flo-2/
Refurbished 1BR Duplex w/ refreshing lake view,JLT Jumeirah Lake Towers,Jumeirah Bay 1,75000,1 Bedrooms,2 Bathrooms,978,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/21/refurbished-1br-duplex-w-refreshing-lake-v-2/
Mid Floor|Jumeira Islands View | Vacant,JLT Jumeirah Lake Towers,Icon Tower 2,55000,1 Bedrooms,1 Bathrooms,814,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/22/mid-floor-jumeira-islands-view-vacant-2/
CLOSE TO METRO 1 BHK IN DUBAI GATE 1 WITH BIG BALCONY 4 CHEQUES,JLT Jumeirah Lake Towers,Dubai Gate 1,55000,1 Bedrooms,1 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/22/close-to-metro-1-bhk-in-dubai-gate-1-with--2/
1 Bedroom For Rent in JLT Dubai Gate 1 building (near metro) @ 55K,JLT Jumeirah Lake Towers,Dubai Gate 1,55000,1 Bedrooms,1 Bathrooms,700,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/22/1-bedroom-for-rent-in-jlt-dubai-gate-1-bui-2/
