title,building1,building2,price,bedroom,bathroom,area
CHEAPEST 1 BED APT WITH SEA VIEW IN MARINA DIAMOND 2 55K,Dubai Marina,Marina Diamond 2,55000,1 Bedrooms,1 Bathrooms,810,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/1/cheapest-1-bed-apt-with-sea-view-in-marina-2/
LARGE 1 BED APT WITH SEA VIEW IN MARINA DIAMOND 2 55K,Dubai Marina,Marina Diamond 2,55000,1 Bedrooms,1 Bathrooms,810,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/31/large-1-bed-apt-with-sea-view-in-marina-di-2/
EXCELLENT DEAL CHILLER FREE  1 BED APT IN MARINA DIAMOND 2 ONLY 55K,Dubai Marina,Marina Diamond 2,55000,1 Bedrooms,1 Bathrooms,820,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/28/excellent-deal-chiller-free-1-bed-apt-in-m-2/
Fully furnished 1 B/R for rent in Dubai Marina,Dubai Marina,Marina Diamond 2,55000,1 Bedrooms,1 Bathrooms,600,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/26/fully-furnished-1-br-for-rent-in-dubai-mar-2/
Full Sea View | Marina Crown | Negotiable,Dubai Marina,Marina Crown,55000,1 Bedrooms,2 Bathrooms,754,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/24/full-sea-view-marina-crown-negotiable-2/
1 BED APT CHILLER FREE IN MARINA DIAMOND 2 55K,Dubai Marina,Marina Diamond 2,55000,1 Bedrooms,1 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/21/1-bed-apt-chiller-free-in-marina-diamond-2-2/
Brand New |Marina View |Fully Furnished,,,117600,1 Bedrooms,2 Bathrooms,895,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/4/brand-new-marina-view-2/
EXCLUSIVE UNIT VACANT 1 BR WITH MARINA VIEW IN MARINA CROWN,Dubai Marina,Marina Crown,55000,1 Bedrooms,2 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/20/exclusive-unit-vacant-1-br-with-marina-vie-2/
1 BED APT CHILLER FREE IN MARINA DIAMOND 2 55K,Dubai Marina,Marina Diamond 2,55000,1 Bedrooms,1 Bathrooms,830,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/18/1-bed-apt-chiller-free-in-marina-diamond-2-2/
"1 Bhk Apt For Rent In Marina Diamond,Dubai Marina",Dubai Marina,Marina Diamond 2,55000,1 Bedrooms,1 Bathrooms,700,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/14/1-bhk-apt-for-rent-in-marina-diamond-dubai-2/
1 BED APT IN MARINA DIAMOND 2 CHILLER AND GAS FREE 55K,Dubai Marina,Marina Diamond 2,55000,1 Bedrooms,1 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/11/1-bed-apt-in-marina-diamond-2-chiller-and--2/
1 BED APT CHILLER AND GAS FREE IN MARINA DIAMOND 2 55K 2 CHEQS,Dubai Marina,Marina Diamond 2,55000,1 Bedrooms,1 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/8/1-bed-apt-chiller-and-gas-free-in-marina-d-2/
EXCLUSIVE UNIT VACANT 1 BR WITH MARINA VIEW IN MARINA CROWN,Dubai Marina,Marina Crown,55000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/2/exclusive-unit-vacant-1-br-with-marina-vie-2/
Lovely 1 Bed Apt I Big Balcony I High Floor I Complete Facilities,Dubai Marina,Escan Tower,55000,1 Bedrooms,1 Bathrooms,765,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/2/lovely-1-bed-apt-i-big-balcony-i-high-floo-2/
BEST DEAL 1 BED APT WITH KITCHEN APPLIANCES IN DIAMOND 2 55K 2 CHEQS,Dubai Marina,Marina Diamond 2,55000,1 Bedrooms,1 Bathrooms,820,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/1/best-deal-1-bed-apt-with-kitchen-appliance-2/
Direct Access to SZR 1BR Apt | 4 Cheques,Dubai Marina,Manchester Tower,55000,1 Bedrooms,2 Bathrooms,517,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/11/direct-access-to-szr-1br-apt-4-cheques-2/
Hot!  Furnished 1 BR with Balcony in Marina (Near Metro Tram Stations) Free Chiller+Cooking Gas,Dubai Marina,Marina Diamond 2,55000,1 Bedrooms,1 Bathrooms,675,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/9/hot-furnished-1-bhk-with-balcony-in-marina-2/
1 Bedroom I Unfurnished I Diamond 6 Rent @55K,Dubai Marina,Marina Diamond 6,55000,1 Bedrooms,1 Bathrooms,715,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/3/bright-spacious-unfurnished-1-bedroom-duba-2/
Chiller Free. 1BR Apartment for rent in Manchester Tower,Dubai Marina,Manchester Tower,55000,1 Bedrooms,1 Bathrooms,556,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/8/29/chiller-free-1br-apartment-for-rent-in-man-2/
1BR for rent DM2 Tower Dubai Marina AC free,Dubai Marina,Marina Diamond 2,55000,1 Bedrooms,1 Bathrooms,680,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/8/6/1br-for-rent-dm2-tower-dubai-marina-ac-fre-2/
Amazing Ready to move 1 bedroomHall in Marina,Dubai Marina,Marina Pinnacle,55000,1 Bedrooms,2 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/4/7/amazing-ready-to-move-1-bedroom-hall-apart-2/
"MARINA,BEAUTIFUL 1 BEDROOM WITH  KITCHEN APPLIANCES,NO SECURITY DEPOSIT,CHILLER FREE",Dubai Marina,Escan Tower,55000,1 Bedrooms,1 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/3/7/dubai-marina-beautiful-1bhk-with-balconies-2/
Cheapest 1 BR Fully Furnished Apartment Manchester Tower,Dubai Marina,Manchester Tower,55000,1 Bedrooms,1 Bathrooms,700,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/1/29/available-after-feb-20-fully-furnished-apa-2/
"Modest 1 Bedroom apt pool view , near metro",Dubai Marina,Dream Tower,55100,1 Bedrooms,2 Bathrooms,694,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/9/fully-furnished-1br-apt-ready-to-move-in-2/
MARINA DIAMOND     1 BEDROOM FOR RENT NEAR METRO,Dubai Marina,Marina Diamond 6,56000,1 Bedrooms,2 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/9/marina-diamond-1-bedroom-for-rent-near-met-2/
Best Offer for 1BR Furnished in Marina,Dubai Marina,DEC Towers,56000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/27/best-offer-for-1br-furnished-in-marina-2/
Reasonable Rent for 1BR Furnished in Marina,Dubai Marina,DEC Towers,56000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/21/reasonable-rent-for-1br-furnished-in-marin-2/
"SEMI FURNISHED 1BR FOR RENT IN MARINA DREAM TOWER 1,,56K",Dubai Marina,Dream Tower,56000,1 Bedrooms,2 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/17/semi-furnished-1br-for-rent-in-marina-drea-2/
Very Affordable Rent For 1BR Furnished In Marina,Dubai Marina,DEC Towers,56000,1 Bedrooms,1 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/13/very-affordable-rent-for-1br-furnished-in--2/
Very Low Offer for 1BR In Dubai Marina - Furnished,Dubai Marina,DEC Towers,56000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/30/very-low-offer-for-1br-in-dubai-marina-fur-2/
Low Rent Fully Furnished  1BR in Marina,Dubai Marina,DEC Towers,56000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/1/low-rent-fully-furnished-1br-in-marina-2/
"LARGE 1 BHK WITH BALCONY IN DUBAI MARINA. (NEAR TRAM, METRO STATIONS) FREE CHILLER+COOKING GAS",Dubai Marina,Marina Diamond 4,56000,1 Bedrooms,1 Bathrooms,840,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/8/23/large-1-bhk-with-balcony-in-dubai-marina-n-2/
Brand New |Marina View |Fully Furnished,,,117600,1 Bedrooms,2 Bathrooms,895,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/4/brand-new-marina-view-2/
Lowest Offer for Furnished 1BR in Marina,Dubai Marina,DEC Towers,56000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/8/11/affordable-1-bedroom-hall-in-marina-2/
Best Offer furnished  for 1BHK in Dubai Marina,Dubai Marina,DEC Towers,56000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/8/5/best-offer-for-1bhk-in-dubai-marina-2/
Prime Location - 1 BHK With Balcony in marina Crown,Dubai Marina,Marina Crown,58000,1 Bedrooms,2 Bathrooms,745,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/11/prime-location-1-bhk-with-balcony-in-marin-2/
Hot Offer|1 Bed Room Apt|Sea View|Chiller Free,Dubai Marina,Marina Pinnacle,58000,1 Bedrooms,2 Bathrooms,855,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/7/hot-offer-1-bed-room-apt-sea-view-chiller--2/
"SPACIOUS 1BR FOR  RENT IN MARINA ESCAN TOWER,,58K",Dubai Marina,Escan Tower,58000,1 Bedrooms,2 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/7/spacious-1br-for-rent-in-marina-escan-towe-2/
1 Bedroom Apartment in Marina Diamond 2,Dubai Marina,Marina Diamond 2,58000,1 Bedrooms,1 Bathrooms,572,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/3/1-bedroom-apartment-in-marina-diamond-2-2/
One Bedroom Apartment in Escan Tower,Dubai Marina,Escan Tower,58000,1 Bedrooms,2 Bathrooms,716,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/31/one-bedroom-apartment-in-escan-tower-2/
Amazing | Cheapest 1BR | Escan Tower@58K,Dubai Marina,Escan Tower,58000,1 Bedrooms,2 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/31/amazing-cheapest-1br-escan-tower-58k-2/
Awesome | Cheapest 1BR | Escan Tower@58K only,Dubai Marina,Escan Tower,58000,1 Bedrooms,2 Bathrooms,860,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/8/awesome-cheapest-1br-escan-tower-60k-only-2/
"1BR FOR RENT IN MARINA ESCAN TOWER,,58K",Dubai Marina,Escan Tower,58000,1 Bedrooms,2 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/4/fully-furnished-1br-for-rent-in-marina-esc-2/
Next to Metro Station 1 Bedroom Marina Diamond 6,Dubai Marina,Marina Diamond 6,58000,1 Bedrooms,1 Bathrooms,715,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/3/next-to-metro-station-1-bedroom-marina-dia-2/
Amazing | Cheapest 1BR | Escan Tower@58K only,Dubai Marina,Escan Tower,58000,1 Bedrooms,2 Bathrooms,860,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/29/amazing-cheapest-1br-escan-tower-60k-only-2/
"1 B/R   Balcony, Marina view in manchester, Dubai marina",Dubai Marina,Manchester Tower,58000,1 Bedrooms,2 Bathrooms,712,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/5/1-br-balcony-for-rent-in-manchester-dubai--2/
One bedroom  for Rent at Dream Tower,Dubai Marina,Dream Tower,58000,1 Bedrooms,1 Bathrooms,637,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/1/one-bedroom-for-rent-at-dream-tower-2/
Fully Furnished 1 BR | Middle Floor | Balcony,Dubai Marina,Manchester Tower,58500,1 Bedrooms,1 Bathrooms,773,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/8/2/fully-furnished-1-br-vacant-balcony-2/
Best priced 1bed for rent in Escan tower,Dubai Marina,Escan Tower,59000,1 Bedrooms,1 Bathrooms,871,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/8/best-priced-1bed-for-rent-in-escan-tower-2/
Pinnacle | Marina | 1 Bed | Chiller Free,Dubai Marina,Marina Pinnacle,59000,1 Bedrooms,2 Bathrooms,844,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/4/pinnacle-marina-1-bed-chiller-free-2/
Special Price till 31st Oct upto AED 59K (No Commission),Dubai Marina,Marina Pinnacle,59000,1 Bedrooms,2 Bathrooms,844,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/23/special-price-till-31st-oct-upto-aed-59k-n-2/
EXCLUSIVE UNIT VACANT 1 BR FOR RENT IN MARINA DIAMOND 6,Dubai Marina,Marina Diamond 6,59000,1 Bedrooms,1 Bathrooms,707,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/4/exclusive-unit-vacant-1-br-for-rent-in-mar-2/
"Marina View 1bedroom in Diamond 6, Marina",Dubai Marina,Marina Diamond 6,59000,1 Bedrooms,1 Bathrooms,750,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/4/1br-diamond-6-2/
"1 Month Rent Free For  1 B/R HALL WITH CHILLER FREE, IN MARINA NEAR SHERATON HOTEL NEXT TO JBR WALK",Dubai Marina,,59000,1 Bedrooms,2 Bathrooms,910,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/1/3/3-bhk-in-bur-dubai-on-computer-street-near-2/
Chiller free | 4 Cheques | Mid Floor |,Dubai Marina,Marina Pinnacle,59750,1 Bedrooms,2 Bathrooms,870,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/22/chiller-free-4-cheques-mid-floor--2/
SEA VIEW\WALKING DISTANCE TO METRO\MARINA PROMENADE\VACANT,Dubai Marina,Marina View Tower A,59999,1 Bedrooms,2 Bathrooms,539,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/31/sea-view-walking-distance-to-metro-marina--2/
1 Bedroom | Marina Diamond | Marina View,Dubai Marina,Marina Diamond 2,59999,1 Bedrooms,2 Bathrooms,666,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/31/1-bedroom-marina-diamond-marina-view-2/
Dubai Marina 1 Bhk With Balcony Shaik Zayed Rood View Next To Metro Station,Dubai Marina,Marina Diamond 4,59999,1 Bedrooms,1 Bathrooms,750,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/29/dubai-marina-1-bedroom-hall-with-balcony-s-2/
Brand New |Marina View |Fully Furnished,,,117600,1 Bedrooms,2 Bathrooms,895,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/4/brand-new-marina-view-2/
Chiller Free | 1 Bed | Un Furnished Community View | Call For More Info,Dubai Marina,Marina Park,59999,1 Bedrooms,2 Bathrooms,705,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/16/chiller-free-1-bed-un-furnished-community--2/
Furnished chiller free 1br Marina Pinnacle,Dubai Marina,Marina Pinnacle,60000,1 Bedrooms,2 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/11/furnished-chiller-free-1br-marina-pinnacle-2/
"Marina dorra bay tower, unfurnished 1 b/r + marina view + 4 cheques + chiller free + low floor + bal",Dubai Marina,Dorra Bay,60000,1 Bedrooms,2 Bathrooms,700,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/11/marina-dorra-bay-tower-unfurnished-1-br-ma-2/
One Bedroom Fully Furnished In Dubai Marina Per Month Payment,Dubai Marina,,60000,1 Bedrooms,2 Bathrooms,613,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/11/one-bedroom-fully-furnished-in-dubai-marin-2/
Lovely Furnished 1 Bedroom Apt I Big Balcony I Chiller  Gas,Dubai Marina,Marina Diamond 2,60000,1 Bedrooms,1 Bathrooms,730,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/8/lovely-furnished-1-bedroom-apt-i-big-balco-2/
"Spacious 1BHK, Hot Deal In Marina Available",Dubai Marina,Marina Pinnacle,60000,1 Bedrooms,2 Bathrooms,834,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/8/spacious-1bhk-hot-deal-in-marina-available-2/
1 Bed - Marina View - Marina Pinnacle,Dubai Marina,Marina Pinnacle,60000,1 Bedrooms,2 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/7/1-bed-marina-view-marina-pinnacle-2/
"Hot Deal |1 BHK Fully Furnished ,Balcony",Dubai Marina,Manchester Tower,60000,1 Bedrooms,1 Bathrooms,517,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/4/hot-deal-1-bhk-60k-12chqs-possible-for-70k-2/
"Spacious 1 BR DEC Tower,Marina-Dubai",Dubai Marina,DEC Towers,60000,1 Bedrooms,2 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/3/spacious-1-br-dec-tower-marina-dubai-2/
Great view! Cozy 1 br close to metro 60k,Dubai Marina,Marina View Tower A,60000,1 Bedrooms,2 Bathrooms,540,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/1/great-view-cozy-1-br-close-to-metro-60k-2-2/
FREE AC AND GAS 1 BHK FOR RENT DUBAI MARINA IN DIAMOND 4 60K ONLY,Dubai Marina,Marina Diamond 4,60000,1 Bedrooms,1 Bathrooms,700,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/1/free-ac-and-gas-1-bhk-for-rent-dubai-marin-2/
"AC FREE, 1B/R ON LOW FLOOR, WITH BALCONY, 11/2 BATH, ONE RESERVED PARKING SPACE, NEAR TRAM STAT",Dubai Marina,Marina Pinnacle,60000,1 Bedrooms,2 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/1/ac-free-1br-on-low-floor-with-balcony-1amp-2/
Live in Dubai Marina⎪1 Bedroom⎪Nice view,Dubai Marina,DEC Towers,60000,1 Bedrooms,2 Bathrooms,824,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/31/live-in-dubai-marina-1-bedroom-nice-view-2/
Lovely Furnished 1 Bedroom Apt I Huge Balcony I Inspiring View I Dubai Marina,Dubai Marina,Marina Diamond 2,60000,1 Bedrooms,1 Bathrooms,700,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/31/lovely-furnishe-1-bedroom-apt-i-huge-balco-2/
1BedRoom Chiller Free Marina Dream Tower,Dubai Marina,Dream Tower,60000,1 Bedrooms,1 Bathrooms,700,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/27/1bedroom-chiller-free-marina-dream-tower-2/
FREE AC  GAS. 1 BHK FOR RENT  DUBAI MARINA IN MARINA DIAMOND  60K 3CHQS,Dubai Marina,Marina Diamond 4,60000,1 Bedrooms,1 Bathrooms,675,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/26/1-bhk-for-rent-dubai-marina-in-marina-diam-2/
Lovely 1 Bedroom Apartment I Big Balcony I Near Metro Station I Dubai Marina,Dubai Marina,Marina Diamond 5,60000,1 Bedrooms,1 Bathrooms,725,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/25/lovely-1-bedroom-apartment-i-big-balcony-i-2/
Marina Pinnacle | One Bed | Dubai Marina,Dubai Marina,Marina Pinnacle,60000,1 Bedrooms,2 Bathrooms,845,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/25/marina-pinnacle-one-bed-dubai-marina-2/
Fantastic Value | Chiller Free | Mid Floor,Dubai Marina,Manchester Tower,60000,1 Bedrooms,2 Bathrooms,517,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/24/fantastic-value-12-cheques-mid-floor-2/
Reduced Price / Low floor / S Z R view,Dubai Marina,Yacht Bay,60000,1 Bedrooms,2 Bathrooms,786,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/24/reduced-price-low-floor-s-z-r-view-2/
Spacious 1 BHK for RENT /Near Marina Walk,Dubai Marina,Marina Diamond 6,60000,1 Bedrooms,2 Bathrooms,720,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/24/spacious-1-bhk-for-rent-near-marina-walk-2/
Sea View Chiller Free 1 B/R in Marina Pinnacle Call,Dubai Marina,Marina Pinnacle,60000,1 Bedrooms,2 Bathrooms,801,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/24/sea-view-chiller-free-1-br-in-marina-pinna-2/
"1 BR Spacious and Bright Unit,Vacant Now",Dubai Marina,Marina Pinnacle,60000,1 Bedrooms,1 Bathrooms,845,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/23/1-br-spacious-and-bright-unit-vacant-now-2/
Deal Of the Day! Cheapest Near Marina Walk,Dubai Marina,Escan Tower,60000,1 Bedrooms,2 Bathrooms,690,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/23/deal-of-the-day-cheapest-near-marina-walk-2/
1 Bed - 2 bath (ESCAN Tower - Dubai Marina) @60k,Dubai Marina,Escan Tower,60000,1 Bedrooms,2 Bathrooms,860,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/22/1-bed-2-bath-escan-tower-dubai-marina-60k-2/
Brand New |Marina View |Fully Furnished,,,117600,1 Bedrooms,2 Bathrooms,895,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/4/brand-new-marina-view-2/
